NAME;DESCRIPTION;TECHNOLOGIES;CLIENT;SECTOR;STARTDATE;DURATION
Recursos Administrativos y Contenciosos;Diseño y construcción del sistema de gestión de recursos administrativos y contenciosos. Aplicación web con arquitectura de microservicios en backend. Integración con la SEDE electrónica del Ministerios de Fomento, con la pasarela de firma electrónica,con el portafirmas, con el sistema de notificaciones Notific@, con el sistema SISGEST, con el registro de entrada y salida del Ministerio y con el repositorio legal de documentación.;.Net Core,ASP.NET Core,Autofac,Automapper,Azure App Services,Azure DevOps,Azure SQL Database,C#,Entity Framework Core,git,Moq,Scrum,Serilog,Swagger,Visual Studio,Vue.js,xUnit;Ministerio de Fomento;Administración pública;01/07/2019;12
SER (Servicio de Estacionamiento Regulado);Diseño y construcción del nuevo servicio de estacionamiento regulado. Sistema con arquitectura de microservicios. Aplicación web, API para aplicaciones móviles, integración con parquímetros, API para controladores e integración con: AUSER, SIATRA-DGT, +Til, y AEMET.;.Net Core,Angular,Asp.Net Core,Autofac,Automapper,Azure DevOps,SQL Server,C#,CI/CD Azure DevOps,Dapper,DDD,Docker,Docker-compose,Entity Framework Core,Envoy,git,gRPC,Identity Server,JMeter,Kivana,Kubernetes,LogStash,MongoDB,Moq,RabbitMQ,Scrum,Seq,Serilog,SignalR,SQL Reporting Services,Swagger,Visual Studio,xUnit;Ayuntamiento de Madrid;Administración pública;01/08/2020;39
Documentos de Arquitectura;Elaboración de los documentos de arquitectura de las webs existentes de: Visitas a la Obra y Construyendo Empleo;C4;Fundación Laboral de la Construcción;Administración pública;01/04/2023;3
OPPC (Organismo Paritario para la Prevención en Construcción);Planificación, seguimiento y gestión de actividades e informes para el ciclo de vida de las actividades de OPPC. Diseño y construcción del backend del sistema. Aplicación web, aplicación para móviles, API para otros sistemas de la Fundación e integración con Gesinfor y GFE.;.Net Core,Asp.Net Core,Autofac,Automapper,Azure SQL Database,C#,Entity Framework Core,Moq,Serilog,SurveyJS,SVN,Swagger,Visual Studio,xUnit;Fundación Laboral de la Construcción;Administración pública;01/08/2023;4
RPA (Robotics Process Automation);Arquitectura RPA en Santander Tecnología. Diseño y construcción de componentes en arquitectura orientada a microservicios. Además, trabajos relacionados con: arquitectura, infraestructura, ejecución, integraciones, seguridad, métricas, trazabilidad, monitorización, administración, rendimiento, etc.;.Net Core,Asp.Net Core,Autofac,Automapper,C#,Entity Framework Core,git,IIS,Kanban,LDAP,Moq,Serilog,SQL Server,Swagger,Visual Studio,Windows Services,xUnit;Banco de Santander;Servicios financieros;01/12/2018;8
OMIPSu;Herramienta para el seguimiento del mercado. Construcción de la web y de su backend, así como del servicio hub de mensajería.;.Net Core,ASP.NET Core,Autofac,Automapper,Bootstrap,C#,Entity Framework Core,JavaScript,jQuery,Kendo UI,SignalR,SQL Server,SVN,Visual Studio;OMIP;Servicios financieros;01/06/2023;2
Mustang UTC (Urban Traffic Control);Construcción de dominio, casos de uso y API GraphQL en Clean Architecture del subsistema UTC de Mustang.;.Net Core,ASP.NET Core,Autofac,Automapper,Azure SQL Database,C#,DDD,DevOps,Entity Framework Core,git,GraphQL,Identity Server,Postman,Scrum,Serilog,Visual Studio,xUnit;Eysa;Ingeniería;01/10/2022;6
ISM 5 (Iconis Security Center for railway systems);Sistema centralizado de seguridad para trenes. Diseño y construcción de componentes en arquitectura orientada a microservicios. Integración y entrega continua. On premise. Patrones de diseño.;.Net Core,ASP.NET Core,Autofac,C#,Entity Framework Core,IIS,Moq,RabbitMQ,Scrum,SQL Server,Visual Studio,Windows Services,xUnit;Alstom;Ingeniería;01/06/2018;7
Nueva arquitectura;Definición y construcción de la nueva arquitectura de Everis -orientada a microservicios- para proyectos internos. Elaboración de guías (buenas prácticas de codificación, cómo hacer microservicios, cómo hacer tests, cómo documentar microservicios) y ejemplos. Pruebas de concepto (Core 2, ASP.NET Core 2, Swagger, Angular 5, RabbitMQ, nugets, Azure AD). Desarrollo de componentes, middlewares y microservicios. Desarrollo de wrappers para Exchange y LDAP.;.Net Core,ADFS,Angular,ASP.NET Core,Automapper,Bootstrap,C#,CSS3,Entity Framework Core,git,HTML5,Jenkins,LDAP,Microsoft Exchange,Moq,npm,Sonar,SQL Server,Swagger,TFS,TypeScript,Visual Code,Visual Studio,VSTS,xUnit;Everis;Servicios tecnológicos;01/06/2017;12
DPT (Digital Planning Tool);Aplicación Web de planificación, cierre y seguimiento de planes (España, Portugal y México).;.Net Framework,Ajax,ASP.NET MVC,Bootstrap,C#,CSS3,HTML5,IIS,JavaScript,jQuery,Kendo UI,NUnit,Oracle,TFS,Unity,Visual Studio,WCF;Havas Media;Publicidad;01/06/2016;15
